id,scheme_name,major_component_name,sub_component_name,activity_master_name,1 Full time Accountant
200,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),Appliances
203,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),Furniture Equipment Inluding Kitchen equipment
206,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),Replacement of bedding (once in 3 years)
207,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),CCTV Camera
212,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - NR (Existing) (Capacity  50) (Elementary),Bedding
215,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - NR (Existing) (Capacity  50) (Elementary),Boundary Wall
217,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - NR (Existing) (Capacity  50) (Elementary),Fooding/Lodging
220,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 50)  (Elementary),DG Sets
221,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 50)  (Elementary),Preparatory Campls
222,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 50)  (Elementary),Construction of building (new)
223,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 50)  (Elementary),Maintenance
225,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 50)  (Elementary),activity_master_details_name
227,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 50)  (Elementary),Boundary Wall
229,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 50)  (Elementary),Smart  Classes
230,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 50)  (Elementary),Smart  Classes
231,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 50)  (Elementary),Provision of Rent
232,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 50)  (Elementary),Replacement of bedding (once in 3 years)
234,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 50)  (Elementary),TLM and equipment including library books
235,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 50)  (Elementary),Capacity Building
236,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 50)  (Elementary),Folk Music Instrument and School Band
243,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - NR (New) (Capacity 100)   (Elementary),Replacement of bedding (once in 3 years)
245,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - (Rec) (New) (Capacity 100)   (Elementary),Preparatory camps
247,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - (Rec) (New) (Capacity 100)   (Elementary),Construction of building (new)100 bedded
249,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - (Rec) (New) (Capacity 100)   (Elementary),Construction of Building
250,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - (Rec) (New) (Capacity 100)   (Elementary),P.T.A. / School Functions
254,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - (Rec) (New) (Capacity 100)   (Elementary),Boundary Wall
255,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - (Rec) (New) (Capacity 100)   (Elementary),Financial Literacy alongwith Alumni Meet
259,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - (Rec) (New) (Capacity 100)   (Elementary),"2 Support Staff (Accountant / Assistant , Peon, Chowkidar)"
261,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - (Rec) (New) (Capacity 100)   (Elementary),Refurbishing unused old buildings
265,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - NR (Existing) (Capacity 100)  (Elementary),Physical / Self Defence Training
266,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - NR (Existing) (Capacity 100)  (Elementary),Preparatory Campls
272,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 100) (Elementary),DG Sets
273,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 100) (Elementary),Preparatory Camps
282,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 100) (Elementary),Electricity/water charges
286,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) -(Rec) (Existing) (Capacity 100) (Elementary),Inverter
291,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - NR (Existing) (Capacity >100)  (Elementary),Bedding
292,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostel) - NR (Existing) (Capacity >100)  (Elementary),Replacement of bedding (once in 3 years)
295,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyaya- (Hostels) (Rec) (Existing )(Capacity>100) (Elementary),1 Warden
296,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyaya- (Hostels) (Rec) (Existing )(Capacity>100) (Elementary),4 - 5 Fulltime teachers as per RTE Norms
298,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyaya- (Hostels) (Rec) (Existing )(Capacity>100) (Elementary),Examination Fee
302,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyaya- (Hostels) (Rec) (Existing )(Capacity>100) (Elementary),Examination Fee
303,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyaya- (Hostels) (Rec) (Existing )(Capacity>100) (Elementary),Preparatory camps
304,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyaya- (Hostels) (Rec) (Existing )(Capacity>100) (Elementary),Preparatory camps
306,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyaya- (Hostels) (Rec) (Existing )(Capacity>100) (Elementary),Furniture / Equipment (including kitchen equipment)
309,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyaya- (Hostels) (Rec) (Existing )(Capacity>100) (Elementary),Bedding
310,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyaya- (Hostels) (Rec) (Existing )(Capacity>100) (Elementary),Excursion Trip within State
313,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,Netaji Subhash Chandra Bose Avasiya Vidyaya- (Hostels) (Rec) (Existing )(Capacity>100) (Elementary),Food/Loadging per Child per month
315,Elementary Education,Access & Retention,Strengthening of Existing Schools BRC URC CRC,Strengthening of Existing BRC URC CRC (Elementary Schools),BRC / URC
316,Elementary Education,Access & Retention,Strengthening of Existing Schools,Strengthening of Existing Schools (up to Highest Class VIII)  - NR,Additional Classrooms (Upto Class VIII)
317,Elementary Education,Access & Retention,Strengthening of Existing Schools,Strengthening of Existing Schools (up to Highest Class VIII)  - NR,Boys Toilet
318,Elementary Education,Access & Retention,Strengthening of Existing Schools,Strengthening of Existing Schools (up to Highest Class VIII)  - NR,Girls Toilets (Upto Class VIII)
319,Elementary Education,Access & Retention,Strengthening of Existing Schools,Strengthening of Existing Schools (up to Highest Class VIII)  - NR,Drinking Water (Upto Class VIII)
320,Elementary Education,Access & Retention,Strengthening of Existing Schools,Strengthening of Existing Schools (up to Highest Class VIII)  - NR,Boundary Wall
321,Elementary Education,Access & Retention,Strengthening of Existing Schools,Strengthening of Existing Schools (up to Highest Class VIII)  - NR,Electrification (Upto Class VIII)
322,Elementary Education,Access & Retention,Strengthening of Existing Schools,Strengthening of Existing Schools (up to Highest Class VIII)  - NR,Handrails
323,Elementary Education,Access & Retention,Strengthening of Existing Schools,Strengthening of Existing Schools (up to Highest Class VIII)  - NR,CWSN Toilets (Upto Class VIII)
324,Elementary Education,Access & Retention,Strengthening of Existing Schools,Strengthening of Existing Schools (up to Highest Class VIII)  - NR,Major Repair( Elementary)
325,Elementary Education,Access & Retention,Strengthening of Existing Schools,Strengthening of Existing Schools (up to Highest Class VIII)  - NR,Furniture (Upto Class VIII)
326,Elementary Education,Access & Retention,Strengthening of Existing Schools,Strengthening of Existing Schools (up to Highest Class VIII)  - NR,Ramps and Handrails
327,Elementary Education,Access & Retention,Strengthening of Existing Schools,Strengthening of Existing Schools (up to Highest Class VIII)  - NR,Building Less Schools (Primary)
328,Elementary Education,Access & Retention,Strengthening of Existing Schools,Strengthening of Existing Schools (up to Highest Class VIII)  - NR,Dilapidated Building (Primary)
329,Elementary Education,Access & Retention,Strengthening of Existing Schools,Strengthening of Existing Schools (up to Highest Class VIII)  - NR,Building Less Schools (Upper Primary)
330,Elementary Education,Access & Retention,Strengthening of Existing Schools,Strengthening of Existing Schools (up to Highest Class VIII)  - NR,Dilapidated Building (Upper Primary)
332,Elementary Education,Access & Retention,Strengthening of Existing Schools,Electrification in Schools (Elementary) - NR,Solar Panel
334,Elementary Education,Access & Retention,Transport & Escort Facilities,Transport / Escort Facility (Elementary),Urban deprived children/children without adult protection
335,Elementary Education,Access & Retention,Transport & Escort Facilities,Transport / Escort Facility (Elementary),Children in remote habitation
337,Elementary Education,RTE Entitlements,Reimbursement towards expenditure incurred for 25% of Admision under 12 (1)(c) RTE Act,Reimbursement of Fee,Reimbursement of Fee against 25% admission under Section 12(1)(c) of RTE Act 2009
339,Elementary Education,RTE Entitlements,Free Textbooks,Free Text Books,Text Books (Class I - II)
340,Elementary Education,RTE Entitlements,Free Textbooks,Free Text Books,Braille Books (Class I II)
341,Elementary Education,RTE Entitlements,Free Textbooks,Free Text Books,Large Print Books (Class I II)
342,Elementary Education,RTE Entitlements,Free Textbooks,Free Text Books,Text Books (Class III - V)
343,Elementary Education,RTE Entitlements,Free Textbooks,Free Text Books,Braille Books (Class III - V)
344,Elementary Education,RTE Entitlements,Free Textbooks,Free Text Books,Large Print Books (Class III - V)
345,Elementary Education,RTE Entitlements,Free Textbooks,Free Text Books,Text Books (Class VI - VIII)
346,Elementary Education,RTE Entitlements,Free Textbooks,Free Text Books,Braille Books (Class VI VIII)
347,Elementary Education,RTE Entitlements,Free Textbooks,Free Text Books,Large Print Books (Class VI - VIII)
349,Elementary Education,RTE Entitlements,Free Uniforms,Uniform,All Girls (Uniform)
350,Elementary Education,RTE Entitlements,Free Uniforms,Uniform,ST Boys (Uniform)
351,Elementary Education,RTE Entitlements,Free Uniforms,Uniform,SC Boys (Uniform)
352,Elementary Education,RTE Entitlements,Free Uniforms,Uniform,BPL Boys (Uniform)
354,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),Special Training for OoSC - Non-Residential (Fresh),3 Months (Non-Residential - Fresh)
355,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),Special Training for OoSC - Non-Residential (Fresh),6 Months (Non-Residential - Fresh)
356,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),Special Training for OoSC - Non-Residential (Fresh),9 Months (Non - Residential - Fresh)
357,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),Special Training for OoSC - Non-Residential (Fresh),12 Month (Non-Residential - Fresh)
359,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),Special Training for OoSC - Residential (Fresh),3 Months (Residential - Fresh)
360,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),Special Training for OoSC - Residential (Fresh),6 Months (Residential - Fresh)
361,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),Special Training for OoSC - Residential (Fresh),9 Months (Residential - Fresh)
362,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),Special Training for OoSC - Residential (Fresh),12 Month (Residential - Fresh)
365,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),Special Training for OoSC  - Non-Residential (Previous year),6 Months (Non-Residential -Prev. Year)
366,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),Special Training for OoSC  - Non-Residential (Previous year),9 Months (Non - Residential - Prev. Year)
367,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),Special Training for OoSC  - Non-Residential (Previous year),12 Month (Non-Residential - Prev Year)
370,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),Special Training for OoSC  - Residential (Previous year),6 Months (Residential - Prev. Year)
371,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),Special Training for OoSC  - Residential (Previous year),9 Months (Residential - Prev. Year)
372,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),Special Training for OoSC  - Residential (Previous year),12 Month (Residential - Prev. Year)
374,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),Intervention for Migrant Children (Non-Residential),3 Months (Non-Residential - Migrant)
375,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),Intervention for Migrant Children (Non-Residential),6 Months (Non-Residential -Migrant)
377,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),Intervention for Migrant Children (Non-Residential),12 Month (Non-Residential - Migrant)
379,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),Intervention for Migrant Children (Residential),3 Months (Residential -Migrant)
380,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),Intervention for Migrant Children (Residential),6 Months (Residential - Migrant)
381,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),Intervention for Migrant Children (Residential),9 Months (Residential - Migrant)
382,Elementary Education,RTE Entitlements,Special Training of Out of School Children (OoSC),Intervention for Migrant Children (Residential),12 Month (Residential - Migrant)
389,Elementary Education,RTE Entitlements,Support to SCPCR,Support to SCPCR,Support to SCPCR (Upto Highest Class VIII)
391,Elementary Education,RTE Entitlements,Community Mobilization,Community Mobilization (Elementary),Training of SMC/ SDMC
392,Elementary Education,RTE Entitlements,Community Mobilization,Community Mobilization (Elementary),Community Mobilization
394,Elementary Education,Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",Innovation Projects - (NR) (Elementary),ICT Facility to BRCs
396,Elementary Education,Quality Interventions,"Funds for Quality (LEP, Innovation, Guidance etc)",Innovation Projects - (Elementary) (Recurring),Holistic Report Card for Students (Elementary )
